Term,Course,Question,Agree strongly,Agree,Agree Somewhat,Neutral,Disagree Somewhat,Disagree,Disagree Strongly
F17,101-04,6a. Recommend Instructor to another student,10,13,2,0,0,0,0
F17,101-04,6b. Recommend Course to another student,10,13,1,0,1,0,0
F17,101-04,6c. Instructor was an effective teacher,10,13,2,0,0,0,0
F17,101-06,1. Course has been a valuable educational experience,8,10,1,1,1,3,0
F17,101-06,2. Effectively Organized,7,10,3,3,1,0,0
F17,101-06,3. Environment Conducive to Learning,11,6,3,3,1,0,0
F17,101-06,5a. Fair Assessment of Student work,10,11,0,1,0,1,0
F17,101-06,5b. Timely Assessment of Student Work,9,12,1,1,0,0,0
F17,101-06,5c. Constructive Assessment of Student Work,7,11,3,3,0,0,0
F17,101-06,6a. Recommend Instructor to another student,10,7,3,2,0,1,0
F17,101-06,6b. Recommend Course to another student,8,8,2,4,0,2,0
F17,101-06,6c. Instructor was an effective teacher,9,7,4,2,1,0,0
S15,101-05,1. Course has been a valuable educational experience,5,13,2,2,0,0,0
S15,101-05,2. Effectively Organized,8,12,1,1,0,0,0
S15,101-05,3. Environment Conducive to Learning,6,11,2,3,0,0,0
S15,101-05,5a. Fair Assessment of Student work,6,15,1,0,0,0,0
S15,101-05,5b. Timely Assessment of Student Work,6,14,1,1,0,0,0
S15,101-05,5c. Constructive Assessment of Student Work,4,15,3,0,0,0,0
S15,101-05,6a. Recommend Instructor to another student,6,13,0,1,2,0,0
S15,101-05,6b. Recommend Course to another student,6,13,0,1,1,0,1
S15,101-05,6c. Instructor was an effective teacher,6,13,1,0,2,0,0
S15,101-07,1. Course has been a valuable educational experience,4,14,3,1,0,1,0
S15,101-07,2. Effectively Organized,12,10,0,0,0,0,0
S15,101-07,3. Environment Conducive to Learning,8,9,3,2,1,0,0
S15,101-07,5a. Fair Assessment of Student work,7,15,1,0,0,0,0
S15,101-07,5b. Timely Assessment of Student Work,7,12,1,2,0,1,0
S15,101-07,5c. Constructive Assessment of Student Work,5,16,2,0,0,0,0
S15,101-07,6a. Recommend Instructor to another student,12,5,2,3,0,0,1
S15,101-07,6b. Recommend Course to another student,5,12,1,3,0,1,1
S15,101-07,6c. Instructor was an effective teacher,12,6,3,0,1,0,1
S16,101-04,1. Course has been a valuable educational experience,9,11,3,1,0,0,0
S16,101-04,2. Effectively Organized,17,7,0,0,1,0,0
S16,101-04,3. Environment Conducive to Learning,9,13,3,0,0,0,0
S16,101-04,5a. Fair Assessment of Student work,7,17,0,0,1,0,0
S16,101-04,5b. Timely Assessment of Student Work,12,10,3,0,0,0,0
S16,101-04,5c. Constructive Assessment of Student Work,8,14,0,3,0,0,0
S16,101-04,6a. Recommend Instructor to another student,13,10,1,1,0,0,0
S16,101-04,6b. Recommend Course to another student,9,13,1,1,0,0,0
S16,101-04,6c. Instructor was an effective teacher,14,8,3,0,0,0,0
S16,101-06,1. Course has been a valuable educational experience,8,12,3,2,1,0,0
S16,101-06,2. Effectively Organized,8,14,3,1,0,0,0
S16,101-06,3. Environment Conducive to Learning,6,12,4,2,1,0,0
S16,101-06,5a. Fair Assessment of Student work,9,11,1,3,0,1,1
S16,101-06,5b. Timely Assessment of Student Work,6,14,1,2,1,1,0
S16,101-06,5c. Constructive Assessment of Student Work,7,11,4,2,1,1,0
S16,101-06,6a. Recommend Instructor to another student,8,11,2,3,1,0,1
S16,101-06,6b. Recommend Course to another student,6,13,5,2,0,0,0
S16,101-06,6c. Instructor was an effective teacher,8,11,5,1,0,0,1
S18,101-01,1. Course has been a valuable educational experience,6,10,6,2,0,0,0
S18,101-01,2. Effectively Organized,13,9,0,2,0,0,0
S18,101-01,3. Environment Conducive to Learning,10,10,3,1,0,0,0
S18,101-01,5a. Fair Assessment of Student work,9,11,2,1,1,0,0
S18,101-01,5b. Timely Assessment of Student Work,9,13,0,2,0,0,0
S18,101-01,5c. Constructive Assessment of Student Work,6,12,5,1,0,0,0
S18,101-01,6a. Recommend Instructor to another student,13,8,2,1,0,0,0
S18,101-01,6b. Recommend Course to another student,7,11,1,3,1,0,0
S18,101-01,6c. Instructor was an effective teacher,11,10,1,1,0,0,0
S18,101-02,1. Course has been a valuable educational experience,4,13,4,1,0,2,0
S18,101-02,2. Effectively Organized,7,14,2,0,0,1,0
S18,101-02,3. Environment Conducive to Learning,7,11,3,1,2,0,0
S18,101-02,5a. Fair Assessment of Student work,6,13,1,1,1,0,1
S18,101-02,5b. Timely Assessment of Student Work,8,15,0,1,0,0,0
S18,101-02,5c. Constructive Assessment of Student Work,4,13,2,2,2,0,1
S18,101-02,6a. Recommend Instructor to another student,8,10,2,0,0,3,1
S18,101-02,6b. Recommend Course to another student,8,9,,4,1,1,1
S18,101-02,6c. Instructor was an effective teacher,7,12,0,1,1,2,1
F18,101-05,1. Course has been a valuable educational experience,5,11,6,4,0,1,0
F18,101-05,2. Effectively Organized,10,13,2,1,1,0,0
F18,101-05,3. Environment Conducive to Learning,9,10,2,4,0,2,0
F18,101-05,5a. Fair Assessment of Student work,10,14,1,1,0,1,0
F18,101-05,5b. Timely Assessment of Student Work,11,7,5,3,1,0,0
F18,101-05,5c. Constructive Assessment of Student Work,7,14,2,2,1,1,0
F18,101-05,6a. Recommend Instructor to another student,11,8,1,5,0,2,0
F18,101-05,6b. Recommend Course to another student,7,12,3,3,1,0,0
F18,101-05,6c. Instructor was an effective teacher,9,11,2,4,0,0,1
F18,101-06,1. Course has been a valuable educational experience,2,17,4,1,0,0,0
F18,101-06,2. Effectively Organized,9,12,3,0,0,0,0
F18,101-06,3. Environment Conducive to Learning,3,18,1,1,1,0,0
F18,101-06,5a. Fair Assessment of Student work,4,17,0,1,2,0,0
F18,101-06,5b. Timely Assessment of Student Work,5,14,3,0,2,0,0
F18,101-06,5c. Constructive Assessment of Student Work,4,11,5,3,0,1,0
F18,101-06,6a. Recommend Instructor to another student,3,15,4,2,0,0,0
F18,101-06,6b. Recommend Course to another student,3,14,6,1,0,0,0
F18,101-06,6c. Instructor was an effective teacher,5,11,6,2,0,0,0
S19,101-07,1. Course has been a valuable educational experience,4,11,2,1,0,0,1
S19,101-07,2. Effectively Organized,8,10,0,1,0,0,0
S19,101-07,3. Environment Conducive to Learning,8,7,2,1,0,1,0
S19,101-07,5a. Fair Assessment of Student work,9,7,3,0,0,0,0
S19,101-07,5b. Timely Assessment of Student Work,7,7,1,1,2,1,0
S19,101-07,5c. Constructive Assessment of Student Work,6,6,4,2,1,0,0
S19,101-07,6a. Recommend Instructor to another student,8,5,2,3,0,1,0
S19,101-07,6b. Recommend Course to another student,3,11,1,3,0,1,0
S19,101-07,6c. Instructor was an effective teacher,9,5,3,1,0,1,0
S19,101-08,1. Course has been a valuable educational experience,5,10,4,1,2,0,0
S19,101-08,2. Effectively Organized,8,12,1,0,0,0,0
S19,101-08,3. Environment Conducive to Learning,5,14,2,0,1,0,0
S19,101-08,5a. Fair Assessment of Student work,7,10,4,1,0,0,0
S19,101-08,5b. Timely Assessment of Student Work,4,12,2,4,0,0,0
S19,101-08,5c. Constructive Assessment of Student Work,4,12,3,2,1,0,0
S19,101-08,6a. Recommend Instructor to another student,9,7,3,1,1,1,0
S19,101-08,6b. Recommend Course to another student,6,10,2,4,0,0,0
S19,101-08,6c. Instructor was an effective teacher,7,11,1,1,2,0,0
